Data,open,high,low,close,vol,avg_temp_leba,short_size
2015-10-05,26.68,26.8,26.5,26.5,157547.0,13.8,0.51
2015-10-06,26.55,27.43,26.55,27.28,300883.0,12.4,0.51
2015-10-07,27.35,27.5,25.83,25.9,1515080.0,7.2,0.51
2015-10-08,26.14,26.68,26.02,26.56,190773.0,6.2,0.51
2015-10-09,26.73,27.2,26.7,26.81,155285.0,4.3,0.51
2015-10-12,27.0,27.1,26.81,27.1,195730.0,3.3,0.51
2015-10-13,27.1,27.1,26.62,26.92,59590.0,4.3,0.51
2015-10-14,26.92,26.94,26.63,26.74,59220.0,7.1,0.51
2015-10-15,26.74,27.1,26.53,27.0,253644.0,8.5,0.51
2015-10-16,27.0,27.04,26.6,27.04,120282.0,10.1,0.51
2015-10-19,27.0,27.0,26.53,26.66,89761.0,8.3,0.51
2015-10-20,26.6,26.8,26.11,26.69,145602.0,8.5,0.51
2015-10-21,26.68,27.0,26.48,26.8,131206.0,8.0,0.51
2015-10-22,26.94,26.97,26.65,26.8,124967.0,8.3,0.51
2015-10-23,26.8,26.8,26.55,26.55,110244.0,9.9,0.51
2015-10-26,26.45,27.06,26.4,26.99,130113.0,6.2,0.51
2015-10-27,26.97,26.98,26.82,26.89,144027.0,3.2,0.51
2015-10-28,26.89,26.96,26.61,26.96,72741.0,5.6,0.51
2015-10-29,26.9,26.95,26.42,26.65,73814.0,6.3,0.51
2015-10-30,26.5,26.8,26.5,26.6,91605.0,8.1,0.51
2015-11-02,26.95,26.95,26.66,26.9,193446.0,6.3,0.51
2015-11-03,26.9,27.17,26.75,26.98,274543.0,4.6,0.51
2015-11-04,26.83,27.05,26.71,26.94,202857.0,2.4,0.51
2015-11-05,26.8,26.92,26.52,26.65,75416.0,2.9,0.51
2015-11-06,26.65,26.65,26.5,26.55,121594.0,1.2,0.51
2015-11-09,26.89,26.89,26.5,26.56,82029.0,8.4,0.51
2015-11-10,26.5,26.56,26.0,26.29,212743.0,12.1,0.51
2015-11-12,24.95,25.39,23.9,24.32,550878.0,11.4,0.51
2015-11-13,24.32,24.48,22.4,22.48,597584.0,7.5,0.51
2015-11-16,22.5,23.32,21.46,23.0,657170.0,6.0,0.51
2015-11-17,23.49,24.21,23.3,23.7,239789.0,9.4,0.51
2015-11-18,23.99,23.99,22.73,23.0,185024.0,10.6,0.51
2015-11-19,23.0,23.48,22.31,22.71,154870.0,9.8,0.51
2015-11-20,22.6,23.13,22.5,22.5,121816.0,7.4,0.51
2015-11-23,22.61,22.75,21.66,21.7,196195.0,0.8,0.51
2015-11-24,21.65,22.35,21.33,21.33,334861.0,-0.8,0.51
2015-11-25,21.33,23.95,21.33,22.77,261015.0,-2.3,0.51
2015-11-26,22.77,23.2,22.5,22.79,131205.0,-1.9,0.51
2015-11-27,23.07,23.3,22.92,23.25,200362.0,-3.1,0.51
2015-11-30,23.5,23.5,22.59,22.59,111014.0,5.3,0.51
2015-12-01,22.7,22.99,22.7,22.9,128111.0,2.7,0.51
2015-12-02,22.92,23.17,22.51,23.0,120755.0,3.6,0.51
2015-12-03,23.0,23.0,22.23,22.45,144955.0,7.6,0.51
2015-12-04,22.3,22.9,22.02,22.81,292120.0,7.0,0.51
2015-12-07,23.3,23.34,22.58,22.8,221790.0,7.9,0.51
2015-12-08,23.0,23.0,22.6,22.75,89526.0,0.5,0.51
2015-12-09,22.89,22.96,22.29,22.5,126637.0,3.3,0.51
2015-12-10,22.55,22.7,22.46,22.55,60458.0,3.7,0.51
2015-12-11,22.95,22.96,22.25,22.4,132466.0,2.1,0.51
2015-12-14,22.4,22.5,22.25,22.3,104726.0,0.9,0.51
2015-12-15,22.2,22.77,22.06,22.77,79317.0,0.0,0.51
2015-12-16,22.8,22.9,22.48,22.6,225176.0,1.5,0.51
2015-12-17,22.8,22.8,22.55,22.75,95960.0,4.7,0.51
2015-12-18,22.8,22.8,22.6,22.6,149386.0,9.4,0.51
2015-12-21,22.61,23.95,22.61,23.83,268568.0,5.5,0.51
2015-12-22,23.9,23.9,23.25,23.32,91423.0,8.9,0.51
2015-12-23,23.3,23.4,23.1,23.15,197989.0,11.7,0.51
2015-12-28,23.16,23.23,22.71,22.81,263634.0,6.4,0.51
2015-12-29,22.81,23.0,22.7,22.75,252084.0,-1.4,0.51
2015-12-30,22.7,22.8,22.12,22.15,388126.0,-4.3,0.51
2016-01-04,22.15,22.29,21.66,21.97,116419.0,-13.7,0.51
2016-01-05,22.3,22.5,22.0,22.46,69995.0,-13.1,0.51
2016-01-07,21.99,22.02,21.11,21.3,483419.0,-5.2,0.51
2016-01-08,21.21,21.48,20.13,20.65,567825.0,-2.9,0.51
2016-01-11,20.23,20.85,20.11,20.6,313856.0,1.2,0.51
2016-01-12,20.51,22.02,20.51,22.02,384371.0,0.5,0.51
2016-01-13,22.0,22.2,21.61,21.75,152818.0,1.0,0.62
2016-01-14,21.62,22.5,21.41,22.5,170463.0,-0.8,0.62
